entity_name,chunk_type,text,vector_id,state,aum_min,aum_max,entity_type
NOBLE FAMILY WEALTH,profile,Entity: NOBLE FAMILY WEALTH. Type: SFO. Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: https://www.noblehome.com/th/home. Recent Signal: [N/A].,0,UNKNOWN,0,99999,SFO
"818 FAMILY OFFICE, LLC",profile,"Entity: 818 FAMILY OFFICE, LLC. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: https://drink818.com. Recent Signal: [N/A].",1,UNKNOWN,0,99999,SFO (Probable)
"BRADY FAMILY WEALTH, LLC",profile,"Entity: BRADY FAMILY WEALTH, LLC. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: https://www.bradyid.com. Recent Signal: [N/A].",2,UNKNOWN,0,99999,SFO (Probable)
"DCA FAMILY OFFICE, LLC",profile,"Entity: DCA FAMILY OFFICE, LLC. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: https://www.service-public.pf/dca. Recent Signal: [N/A].",3,UNKNOWN,0,99999,SFO (Probable)
SIMPLICITY WEALTH,profile,Entity: SIMPLICITY WEALTH. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: https://menstaysimplicity.com. Recent Signal: [N/A].,4,UNKNOWN,0,99999,SFO (Probable)
Baustert Family Foundation,profile,Entity: Baustert Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,5,UNKNOWN,0,99999,SFO (Probable)
Beemok Family Foundation,profile,Entity: Beemok Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,6,UNKNOWN,0,99999,SFO (Probable)
Bezos Family Foundation,profile,Entity: Bezos Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,7,UNKNOWN,0,99999,SFO (Probable)
Bicket Family Foundation,profile,Entity: Bicket Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,8,UNKNOWN,0,99999,SFO (Probable)
Biswas Family Foundation,profile,Entity: Biswas Family Foundation. Type: SFO (Probable). Location: UNKNOWN. Principal: [N/A] ([N/A]). AUM: . Website: [N/A]. Recent Signal: [N/A].,9,UNKNOWN,0,99999,SFO (Probable)
